TEMPERATURE	RESISTIVITY	SECOND_DERIV_RES
296.0163	0.967210086	-0.001121343
295.6234	0.967943165	-0.00102837
295.3455	0.967981587	-0.000875
295.0707	0.968682234	-0.001111226
294.7209	0.968773957	-0.000983
294.3336	0.969264696	-0.00056
293.9537	0.969424066	-0.000467
293.6107	0.969784417	-0.000488
293.2908	0.969306022	-0.000584
292.9765	0.969686869	-0.000679
292.6813	0.969767609	-0.000929
292.3345	0.969851063	-0.001141249
291.9227	0.970878385	-0.001262537
291.5278	0.971839546	-0.001563159
291.1582	0.97247251	-0.001850562
290.8475	0.972778723	-0.001843068
290.508	0.973702701	-0.001825549
290.1096	0.974116787	-0.001803975
289.7207	0.974475595	-0.001643835
289.3758	0.975376051	-0.001656771
289.0249	0.976363117	-0.00177227
288.6628	0.976268523	-0.001675904
288.3079	0.976957793	-0.001490075
287.9306	0.977880194	-0.001502578
287.563	0.978170698	-0.001650368
287.2064	0.979195473	-0.001689665
286.8563	0.979717045	-0.001711427
286.498	0.979806816	-0.001910955
286.1326	0.980008072	-0.001982408
285.7623	0.981533363	-0.001921527
285.4176	0.982410629	-0.00197157
285.0503	0.983437517	-0.002051123
284.6821	0.983666786	-0.002092192
284.3275	0.984515525	-0.00216557
283.9644	0.985242691	-0.002098205
283.603	0.985818332	-0.001835741
283.2487	0.986458931	-0.001760221
282.8828	0.987332254	-0.001849779
282.5186	0.988180694	-0.001919348
282.1691	0.988428413	-0.001890658
281.8018	0.989524154	-0.001927752
281.4515	0.989848064	-0.002110024
281.0875	0.990766502	-0.002147187
280.7181	0.99155141	-0.002108244
280.3656	0.992287023	-0.002146273
279.9962	0.993022283	-0.002221176
279.6512	0.993991216	-0.002247419
279.2871	0.995172958	-0.002275115
278.9227	0.995689752	-0.002307825
278.5382	0.996138442	-0.002296976
278.1605	0.997213805	-0.002298019
277.8124	0.998042305	-0.002301989
277.4717	0.998862493	-0.002269256
277.1117	0.999872877	-0.002235251
276.7538	1.000513784	-0.002363023
276.3865	1.001592727	-0.002435691
276.0316	1.002154722	-0.002333394
275.6675	1.003141572	-0.002368346
275.3231	1.003924273	-0.002440985
274.9596	1.0047302	-0.002488387
274.5956	1.005663877	-0.002580442
274.237	1.006828013	-0.00260996
273.8801	1.007390097	-0.002661256
273.5126	1.008722213	-0.002630715
273.1667	1.0097452	-0.002596645
272.8023	1.010422937	-0.002652019
272.4347	1.011586046	-0.002680413
272.0787	1.012297422	-0.002547393
271.7123	1.01328075	-0.002454451
271.3649	1.014158013	-0.002492297
270.9993	1.014934353	-0.00252341
270.6284	1.016356682	-0.002629538
270.2626	1.017106948	-0.00271114
269.9044	1.017978511	-0.002791475
269.5558	1.018329797	-0.00286604
269.1956	1.020273759	-0.002905117
268.8322	1.021229724	-0.002964653
268.4719	1.022222228	-0.002993568
268.1248	1.023265064	-0.003014814
267.7482	1.024558107	-0.003105812
267.3884	1.025396512	-0.003103076
267.0273	1.026660652	-0.002930391
266.6791	1.027548999	-0.002929105
266.3195	1.028837029	-0.003076061
265.9524	1.029737509	-0.003133292
265.5955	1.030845496	-0.003139295
265.2309	1.032259712	-0.003142056
264.8745	1.03301694	-0.003175328
264.5038	1.034461557	-0.003202859
264.1629	1.035647128	-0.003154767
263.8045	1.036805493	-0.003193463
263.4246	1.037949041	-0.0033247
263.0657	1.03883922	-0.00331913
262.7165	1.040168534	-0.0033368
262.3545	1.041462081	-0.003368427
261.9913	1.042505299	-0.003338071
261.6289	1.043768772	-0.003410595
261.2781	1.0455159	-0.003508224
260.9187	1.046467663	-0.003589713
260.5622	1.04743295	-0.003597415
260.1974	1.048869262	-0.00355801
259.8411	1.050236184	-0.003627782
259.4721	1.051330346	-0.003675064
259.1216	1.053080917	-0.003666587
258.7576	1.054155884	-0.003748243
258.4055	1.055720507	-0.003887248
258.0379	1.056713387	-0.003884465
257.6844	1.058289844	-0.003794072
257.313	1.059803844	-0.003832225
256.965	1.061122289	-0.003898688
256.5952	1.062417627	-0.003922503
256.2499	1.063889124	-0.003961704
255.8772	1.065506133	-0.003995997
255.5142	1.066617095	-0.004009791
255.1568	1.068059071	-0.004047531
254.8056	1.069993266	-0.004153894
254.4417	1.071180851	-0.004252037
254.0796	1.072510306	-0.004250816
253.719	1.074277018	-0.004183556
253.3719	1.075657115	-0.004233077
253.0083	1.077433082	-0.004288802
252.6448	1.078980455	-0.004322103
252.2896	1.080473482	-0.004468536
251.925	1.081994091	-0.00457528
251.5696	1.083252449	-0.004449459
251.2038	1.08508822	-0.004423469
250.8497	1.087070615	-0.004548624
250.4885	1.088759502	-0.004638084
250.1323	1.090416852	-0.004739003
249.7701	1.091861858	-0.004751753
249.4074	1.093447321	-0.004770533
249.0455	1.094880127	-0.004765448
248.6846	1.097407461	-0.004703845
248.3274	1.098919002	-0.004832083
247.9753	1.100575123	-0.005023509
247.6048	1.102306729	-0.00508031
247.2516	1.103978824	-0.005123925
246.8877	1.106127868	-0.005146027
246.5394	1.107769745	-0.005114533
246.1771	1.109657928	-0.00522707
245.8134	1.111956453	-0.005345083
245.4473	1.113489985	-0.005332023
245.0996	1.115293125	-0.005363249
244.7355	1.117540567	-0.005391215
244.3724	1.119347196	-0.005410155
244.0079	1.121464423	-0.005490879
243.6593	1.123235958	-0.005499576
243.2968	1.125150599	-0.005588981
242.9382	1.127285674	-0.005674694
242.5904	1.129399719	-0.005616367
242.2186	1.131376695	-0.005662658
241.858	1.133372932	-0.005772477
241.482	1.135860994	-0.005922167
241.1211	1.13752613	-0.006045889
240.7799	1.139976125	-0.006080796
240.4208	1.14177008	-0.006145543
240.0571	1.144179949	-0.006253161
239.7032	1.146494599	-0.006308717
239.3348	1.149128557	-0.006315634
238.976	1.151294501	-0.006427741
238.6185	1.153463413	-0.006478487
238.2612	1.155672024	-0.006562773
237.9012	1.158126424	-0.006674713
237.5469	1.160320191	-0.006631072
237.1826	1.162845573	-0.006651168
236.8315	1.165275415	-0.006816703
236.4686	1.16800526	-0.00694945
236.1058	1.170309672	-0.006953961
235.7399	1.173162312	-0.0070221
235.3788	1.175275919	-0.007111731
235.025	1.177728818	-0.007172609
234.6645	1.180542123	-0.007210172
234.3024	1.183341292	-0.007265887
233.9506	1.185533775	-0.007389479
233.5919	1.188457282	-0.007486848
233.2334	1.191320494	-0.007605454
232.8709	1.193859898	-0.007689474
232.5127	1.196693559	-0.00765949
232.1462	1.199370482	-0.00778913
231.7936	1.202287888	-0.008022991
231.4298	1.205140842	-0.008034775
231.08	1.207959929	-0.008015906
230.7102	1.210990002	-0.008228073
230.3552	1.213902974	-0.008475304
229.9893	1.217021288	-0.008523361
229.6352	1.220389025	-0.008511217
229.2692	1.223077816	-0.008606052
228.921	1.225903615	-0.008753761
228.5654	1.229453822	-0.008894
228.1965	1.23304319	-0.008921289
227.8436	1.235892533	-0.00888682
227.4785	1.238565965	-0.00904299
227.1246	1.242435133	-0.009320248
226.7648	1.245754782	-0.009433564
226.4014	1.24928356	-0.009442842
226.0383	1.252414594	-0.009547275
225.6805	1.255632291	-0.009769463
225.3221	1.259535013	-0.009959151
224.9677	1.263595718	-0.009952572
224.6051	1.266608428	-0.010019522
224.2464	1.27027022	-0.010193356
223.8802	1.274027362	-0.010352978
223.5272	1.277668445	-0.010502923
223.1675	1.281530589	-0.010527887
222.812	1.285356381	-0.010620875
222.4535	1.289042482	-0.010884667
222.0867	1.29318038	-0.011036354
221.7358	1.296998569	-0.011084186
221.3708	1.301336979	-0.011259038
221.0056	1.305304042	-0.011425208
220.6495	1.309317911	-0.011557482
220.2972	1.313416363	-0.011754735
